Timestamp,Action,Symbol,Price,Lot_Size,Magic_Number,Result
2026-06-03T16:42:14.426293,SELL,US500,7605.9,1.0,777777,FAILED: 10027
2026-06-03T16:42:25.191643,BUY,US500,7606.5,1.0,777777,FAILED: 10027
2026-06-03T16:42:26.114672,BUY,US500,7606.6,1.0,777777,FAILED: 10027
2026-06-03T16:42:27.258709,BUY,US500,7606.9,1.0,777777,FAILED: 10027
2026-06-03T16:42:29.776789,BUY,US500,7607.1,1.0,777777,FAILED: 10027
2026-06-03T16:42:30.440810,SELL,US500,7606.5,1.0,777777,FAILED: 10027
2026-06-03T16:42:32.711882,BUY,US500,7607.1,1.0,777777,FAILED: 10027
2026-06-03T16:42:33.958921,SELL,US500,7606.4,1.0,777777,FAILED: 10027
2026-06-03T16:42:39.174085,SELL,US500,7606.2,1.0,777777,FAILED: 10027
2026-06-03T16:42:39.396091,SELL,US500,7606.1,1.0,777777,FAILED: 10027
2026-06-03T16:42:45.252272,BUY,US500,7606.7,1.0,777777,FAILED: 10027
2026-06-03T16:42:45.563282,SELL,US500,7606.1,1.0,777777,FAILED: 10027
2026-06-03T16:42:51.679468,BUY,US500,7606.7,1.0,777777,FAILED: 10027
2026-06-03T16:42:52.003478,BUY,US500,7606.9,1.0,777777,FAILED: 10027
2026-06-03T16:42:52.741500,SELL,US500,7606.2,1.0,777777,FAILED: 10027
2026-06-03T16:42:53.387519,SELL,US500,7606.1,1.0,777777,FAILED: 10027
2026-06-03T16:43:01.958774,SELL,US500,7605.9,1.0,777777,FAILED: 10027
2026-06-03T16:43:03.111808,BUY,US500,7606.5,1.0,777777,FAILED: 10027
2026-06-03T16:43:03.220812,BUY,US500,7606.6,1.0,777777,FAILED: 10027
2026-06-03T16:43:05.934891,SELL,US500,7605.9,1.0,777777,FAILED: 10027
2026-06-03T16:43:06.360904,BUY,US500,7606.6,1.0,777777,FAILED: 10027
2026-06-03T16:43:06.985922,SELL,US500,7606.0,1.0,777777,FAILED: 10027
2026-06-03T16:43:07.093925,SELL,US500,7605.9,1.0,777777,FAILED: 10027
2026-06-03T16:43:09.091983,BUY,US500,7606.6,1.0,777777,FAILED: 10027
2026-06-03T16:43:09.625999,SELL,US500,7606.0,1.0,777777,FAILED: 10027
2026-06-03T16:43:09.855005,SELL,US500,7605.9,1.0,777777,FAILED: 10027
2026-06-03T16:43:14.407136,BUY,US500,7606.6,1.0,777777,FAILED: 10027
2026-06-03T16:43:21.923350,BUY,US500,7606.9,1.0,777777,FAILED: 10027
2026-06-03T16:43:25.159440,SELL,US500,7606.2,1.0,777777,FAILED: 10027
2026-06-03T16:43:25.278444,BUY,US500,7607.1,1.0,777777,FAILED: 10027
2026-06-03T16:43:25.602453,SELL,US500,7606.5,1.0,777777,FAILED: 10027
2026-06-03T16:43:26.021464,SELL,US500,7606.4,1.0,777777,FAILED: 10027
2026-06-03T16:43:29.765568,SELL,US500,7606.1,1.0,777777,FAILED: 10027
2026-06-03T16:43:35.638729,SELL,US500,7605.9,1.0,777777,FAILED: 10027
2026-06-03T16:43:42.579917,SELL,US500,7605.6,1.0,777777,FAILED: 10027
2026-06-03T16:43:42.907926,BUY,US500,7606.4,1.0,777777,FAILED: 10027
2026-06-03T16:43:47.846057,SELL,US500,7605.6,1.0,777777,FAILED: 10027
2026-06-03T16:43:48.180066,BUY,US500,7606.2,1.0,777777,FAILED: 10027
2026-06-03T16:43:49.963113,BUY,US500,7606.4,1.0,777777,FAILED: 10027
2026-06-03T16:44:00.126377,SELL,US500,7605.7,1.0,777777,FAILED: 10027
2026-06-03T16:44:00.456386,BUY,US500,7606.4,1.0,777777,FAILED: 10027
2026-06-03T16:44:05.659519,SELL,US500,7605.6,1.0,777777,FAILED: 10027
2026-06-03T16:44:07.965577,BUY,US500,7606.4,1.0,777777,FAILED: 10027
2026-06-03T16:44:08.086580,SELL,US500,7605.7,1.0,777777,FAILED: 10027
2026-06-03T16:44:08.935602,SELL,US500,7605.6,1.0,777777,FAILED: 10027
2026-06-03T16:44:09.042604,BUY,US500,7606.2,1.0,777777,FAILED: 10027
2026-06-03T16:44:10.203633,BUY,US500,7606.4,1.0,777777,FAILED: 10027
2026-06-03T16:44:10.537642,SELL,US500,7605.6,1.0,777777,FAILED: 10027
2026-06-03T16:44:10.960652,BUY,US500,7606.4,1.0,777777,FAILED: 10027
2026-06-03T16:44:17.220808,BUY,US500,7606.5,1.0,777777,FAILED: 10027
2026-06-03T16:44:17.345811,SELL,US500,7605.9,1.0,777777,FAILED: 10027
2026-06-03T16:44:17.660819,BUY,US500,7606.6,1.0,777777,FAILED: 10027
2026-06-03T16:44:17.792822,SELL,US500,7606.0,1.0,777777,FAILED: 10027
2026-06-03T16:44:18.059829,BUY,US500,7606.6,1.0,777777,FAILED: 10027
2026-06-03T16:44:27.297054,BUY,US500,7606.7,1.0,777777,FAILED: 10027
2026-06-03T16:44:27.409056,SELL,US500,7606.1,1.0,777777,FAILED: 10027
2026-06-03T16:44:35.474248,SELL,US500,7606.0,1.0,777777,FAILED: 10027
2026-06-03T16:44:35.710254,BUY,US500,7606.6,1.0,777777,FAILED: 10027
2026-06-03T16:44:48.532552,SELL,US500,7606.0,1.0,777777,FAILED: 10017
2026-06-03T16:44:49.695578,BUY,US500,7606.6,1.0,777777,FAILED: 10017
2026-06-03T16:44:51.086610,SELL,US500,7606.0,1.0,777777,FAILED: 10017
2026-06-03T16:44:51.830627,BUY,US500,7606.6,1.0,777777,FAILED: 10017
2026-06-03T16:44:52.371639,SELL,US500,7605.9,1.0,777777,FAILED: 10017
2026-06-03T16:44:53.615667,BUY,US500,7606.6,1.0,777777,FAILED: 10017
2026-06-03T16:44:55.915719,SELL,US500,7605.9,1.0,777777,FAILED: 10017
2026-06-03T16:44:57.015744,BUY,US500,7606.5,1.0,777777,FAILED: 10017
2026-06-03T16:44:57.229749,BUY,US500,7606.6,1.0,777777,FAILED: 10017
2026-06-03T16:45:16.479169,SELL,US500,7605.9,1.0,777777,FAILED: 10017
2026-06-03T16:45:28.533423,BUY,US500,7606.6,1.0,777777,FAILED: 10017
2026-06-03T16:45:32.447504,SELL,US500,7605.9,1.0,777777,FAILED: 10017
2026-06-03T16:45:32.766510,BUY,US500,7606.6,1.0,777777,FAILED: 10017
2026-06-03T16:45:36.443585,SELL,US500,7605.9,1.0,777777,FAILED: 10017
2026-06-03T16:45:38.131619,SELL,US500,7605.7,1.0,777777,FAILED: 10017
2026-06-03T16:45:38.340624,BUY,US500,7606.4,1.0,777777,FAILED: 10017
2026-06-03T16:45:38.565628,SELL,US500,7605.7,1.0,777777,FAILED: 10017
2026-06-03T16:45:38.778633,BUY,US500,7606.4,1.0,777777,FAILED: 10017
2026-06-03T16:45:42.109699,BUY,US500,7606.5,1.0,777777,FAILED: 10017
2026-06-03T16:45:42.419706,BUY,US500,7606.6,1.0,777777,FAILED: 10017
2026-06-03T16:45:43.271723,BUY,US500,7606.7,1.0,777777,FAILED: 10017
2026-06-03T16:45:43.582729,BUY,US500,7606.9,1.0,777777,FAILED: 10017
2026-06-03T16:45:44.125740,SELL,US500,7606.2,1.0,777777,FAILED: 10017
2026-06-03T16:45:44.341744,BUY,US500,7606.9,1.0,777777,FAILED: 10017
2026-06-03T16:45:44.662750,SELL,US500,7606.2,1.0,777777,FAILED: 10017
2026-06-03T16:45:45.177761,SELL,US500,7606.1,1.0,777777,FAILED: 10017
2026-06-03T16:45:45.845774,BUY,US500,7606.6,1.0,777777,FAILED: 10017
2026-06-03T16:45:45.953776,SELL,US500,7606.1,1.0,777777,FAILED: 10017
2026-06-03T16:45:46.061778,BUY,US500,7606.7,1.0,777777,FAILED: 10017
2026-06-03T16:45:46.342784,BUY,US500,7606.9,1.0,777777,FAILED: 10017
2026-06-03T16:46:04.282131,SELL,US500,7606.2,1.0,777777,FAILED: 10017
2026-06-03T16:46:04.513136,BUY,US500,7606.9,1.0,777777,FAILED: 10017
2026-06-03T16:46:05.038146,SELL,US500,7606.1,1.0,777777,FAILED: 10017
2026-06-03T16:46:05.266150,BUY,US500,7606.9,1.0,777777,FAILED: 10017
2026-06-03T16:46:06.374171,SELL,US500,7606.1,1.0,777777,FAILED: 10017
2026-06-03T16:46:07.521192,BUY,US500,7606.9,1.0,777777,FAILED: 10017
2026-06-03T16:46:07.628194,SELL,US500,7606.1,1.0,777777,FAILED: 10017
2026-06-03T16:46:08.066203,BUY,US500,7606.7,1.0,777777,FAILED: 10017
2026-06-03T16:46:08.593212,BUY,US500,7606.9,1.0,777777,FAILED: 10017
2026-06-03T16:46:08.920219,SELL,US500,7606.1,1.0,777777,FAILED: 10017
2026-06-03T16:46:09.845236,BUY,US500,7606.7,1.0,777777,FAILED: 10017
2026-06-03T16:46:10.284244,SELL,US500,7606.1,1.0,777777,FAILED: 10017
2026-06-03T16:46:10.698252,BUY,US500,7606.9,1.0,777777,FAILED: 10017
2026-06-03T16:46:12.081277,SELL,US500,7606.1,1.0,777777,FAILED: 10017
2026-06-03T16:46:12.371283,BUY,US500,7606.7,1.0,777777,FAILED: 10017
2026-06-03T16:46:12.478285,BUY,US500,7606.9,1.0,777777,FAILED: 10017
