time,open,high,low,close,volume
2026-03-29 18:10:00-04:00,4522.2998046875,4527.2001953125,4506.2998046875,4510.10009765625,534
2026-03-29 18:15:00-04:00,4531.7001953125,4531.7001953125,4515.2001953125,4523.10009765625,551
2026-03-29 18:20:00-04:00,4532.10009765625,4537.89990234375,4527.39990234375,4530.0,485
2026-03-29 18:25:00-04:00,4534.60009765625,4538.0,4526.89990234375,4531.7998046875,349
2026-03-29 18:30:00-04:00,4532.7001953125,4538.89990234375,4529.7001953125,4535.39990234375,315
2026-03-29 18:35:00-04:00,4528.7001953125,4538.89990234375,4527.10009765625,4533.60009765625,314
2026-03-29 18:40:00-04:00,4518.2998046875,4531.2998046875,4516.60009765625,4528.10009765625,313
2026-03-29 18:45:00-04:00,4515.7001953125,4523.2998046875,4513.89990234375,4520.0,262
2026-03-29 18:50:00-04:00,4516.5,4522.5,4512.7998046875,4515.39990234375,517
2026-03-29 18:55:00-04:00,4512.2998046875,4518.39990234375,4507.60009765625,4516.2998046875,336
2026-03-29 19:00:00-04:00,4516.10009765625,4521.10009765625,4511.89990234375,4513.39990234375,366
2026-03-29 19:05:00-04:00,4506.60009765625,4516.10009765625,4493.0,4515.7998046875,762
2026-03-29 19:10:00-04:00,4506.60009765625,4507.7998046875,4500.10009765625,4505.89990234375,286
2026-03-29 19:15:00-04:00,4503.5,4513.2001953125,4503.0,4506.60009765625,282
2026-03-29 19:20:00-04:00,4502.10009765625,4507.2001953125,4499.60009765625,4504.2998046875,136
2026-03-29 19:25:00-04:00,4500.0,4509.2001953125,4500.0,4502.7998046875,177
2026-03-29 19:30:00-04:00,4487.89990234375,4500.5,4479.89990234375,4500.0,876
2026-03-29 19:35:00-04:00,4479.7998046875,4488.2998046875,4473.0,4487.7001953125,1481
2026-03-29 19:40:00-04:00,4479.7001953125,4483.2998046875,4478.5,4480.10009765625,237
2026-03-29 19:45:00-04:00,4473.2001953125,4483.89990234375,4472.10009765625,4481.0,617
2026-03-29 19:50:00-04:00,4478.2998046875,4481.10009765625,4472.0,4473.89990234375,320
2026-03-29 19:55:00-04:00,4476.89990234375,4481.10009765625,4472.5,4477.89990234375,328
