1775735700,4728.94,4729.33,4725.86,4726.09
1775736000,4726.03,4727.54,4723.69,4725.75
1775736300,4725.65,4731.72,4722.74,4731.04
1775736600,4731.15,4732.83,4729.6,4730.71
1775736900,4730.83,4732.66,4729.15,4730.36
1775737200,4730.36,4732.34,4729.28,4729.91
1775737500,4731.11,4732.95,4728.63,4729.45
1775737800,4729.48,4730.81,4727.36,4729.75
1775738100,4729.81,4732.5,4727.88,4732.44
1775738400,4732.5,4732.5,4726.67,4726.78
1775738700,4726.75,4729.33,4723.57,4728.8
1775739000,4728.75,4730.56,4726.54,4728.51
1775739300,4728.37,4730.48,4726.61,4729.2
1775739600,4729.35,4732.81,4728.19,4728.78
1775739900,4728.72,4729.47,4725.62,4728.68
1775740200,4728.84,4730.02,4725.9,4727.28
1775740500,4727.25,4729.63,4723.68,4729.06
1775740800,4729.0,4738.7,4728.7,4738.2
1775741100,4738.1,4739.8,4736.15,4738.04
1775741400,4738.06,4741.3,4737.91,4738.59
1775741700,4738.5,4740.22,4737.41,4739.87
1775742000,4739.94,4741.11,4736.41,4740.65
1775742300,4740.61,4744.28,4739.11,4744.04
1775742600,4744.01,4746.24,4741.8,4744.61
1775742900,4744.67,4746.7,4739.78,4741.1
1775743200,4741.15,4744.17,4738.31,4740.49
1775743500,4740.45,4741.69,4738.48,4740.07
1775743800,4740.11,4741.32,4738.92,4739.19
1775744100,4739.26,4743.15,4738.68,4743.11
1775744400,4743.07,4746.07,4742.87,4743.59
1775744700,4743.56,4747.2,4742.15,4745.74
1775745000,4745.66,4747.76,4742.98,4744.98
1775745300,4745.02,4748.79,4743.16,4748.79
1775745600,4748.87,4751.37,4748.3,4751.0
1775745900,4751.06,4757.03,4750.71,4756.21
1775746200,4756.23,4756.95,4755.32,4756.18
1775746500,4756.21,4757.35,4753.34,4756.5
1775746800,4756.76,4759.56,4749.07,4750.93
1775747100,4750.97,4750.97,4744.59,4744.9
1775747400,4744.89,4747.38,4741.92,4742.49
1775747700,4742.46,4744.2,4739.17,4739.24
1775748000,4739.5,4741.71,4736.37,4740.2
1775748300,4739.59,4741.64,4734.96,4737.77
1775748600,4737.77,4743.7,4735.21,4742.27
1775748900,4742.25,4745.06,4739.84,4741.91
1775749200,4741.89,4748.05,4740.43,4743.76
1775749500,4743.71,4744.51,4737.47,4742.64
1775749800,4742.65,4746.17,4740.66,4741.58
1775750100,4741.66,4747.33,4741.43,4745.7
1775750400,4745.72,4747.13,4738.74,4743.03
1775750700,4743.04,4749.75,4742.65,4749.46
1775751000,4749.47,4756.61,4748.6,4754.64
1775751300,4754.94,4758.64,4752.78,4753.28
1775751600,4753.26,4758.28,4752.55,4754.08
1775751900,4754.11,4756.42,4751.6,4752.64
1775752200,4752.63,4757.6,4750.49,4756.95
1775752500,4756.96,4771.36,4756.86,4770.31
1775752800,4770.32,4777.01,4769.78,4775.85
1775753100,4775.76,4776.6,4768.73,4771.61
1775753400,4771.61,4771.84,4759.7,4763.47
1775753700,4763.48,4769.04,4762.54,4764.52
1775754000,4764.47,4776.04,4761.74,4772.68
1775754300,4772.78,4773.42,4765.66,4767.06
1775754600,4767.01,4776.29,4765.69,4770.89
1775754900,4770.81,4773.15,4760.17,4761.47
1775755200,4761.38,4770.96,4760.96,4770.4
1775755500,4770.42,4772.86,4763.46,4764.87
1775755800,4765.18,4767.65,4755.32,4755.91
1775756100,4755.73,4759.07,4747.25,4758.97
1775756400,4758.98,4761.49,4751.18,4755.64
1775756700,4755.69,4763.22,4755.12,4761.51
1775757000,4761.52,4765.99,4761.52,4763.74
1775757300,4763.67,4768.88,4762.92,4768.46
1775757600,4768.54,4769.16,4761.11,4763.71
1775757900,4763.59,4766.36,4761.29,4762.13
1775758200,4762.18,4770.35,4761.87,4769.16
1775758500,4769.2,4783.62,4769.2,4782.93
1775758800,4783.29,4786.28,4779.58,4784.7
1775759100,4784.64,4784.64,4777.73,4778.73
1775759400,4778.76,4792.27,4778.15,4791.82
1775759700,4791.82,4797.9,4788.23,4791.93
1775760000,4791.99,4796.13,4790.07,4790.27
1775760300,4790.14,4794.35,4785.6,4786.31
1775760600,4786.04,4790.79,4784.25,4787.95
1775760900,4787.93,4794.1,4784.6,4792.68
1775761200,4792.68,4800.98,4791.4,4796.68
1775761500,4796.79,4797.67,4792.22,4792.23
1775761800,4792.35,4794.24,4787.85,4788.18
1775762100,4788.2,4797.62,4787.67,4795.47
1775762400,4795.67,4797.02,4791.91,4794.91
1775762700,4794.85,4794.87,4791.11,4792.75
1775763000,4792.72,4795.47,4790.79,4794.61
1775763300,4794.57,4794.87,4788.23,4791.94
1775763600,4792.51,4792.51,4785.92,4787.27
1775763900,4787.36,4789.21,4784.34,4784.34
1775764200,4784.39,4791.37,4784.39,4788.5
1775764500,4788.5,4789.4,4786.73,4788.78
1775764800,4788.77,4790.92,4786.8,4788.9
1775765100,4788.94,4794.05,4788.54,4792.71
1775765400,4792.71,4793.86,4790.04,4793.16
1775765700,4793.18,4798.28,4792.65,4797.57
1775766000,4797.52,4797.79,4792.07,4792.53
1775766300,4792.42,4795.78,4790.15,4792.77
1775766600,4792.68,4794.15,4787.53,4793.17
1775766900,4793.19,4800.66,4792.46,4798.84
1775767200,4798.58,4801.1,4794.39,4795.27
1775767500,4795.31,4800.91,4795.23,4800.52
1775767800,4800.47,4800.62,4796.11,4797.95
1775768100,4797.97,4799.75,4797.28,4797.76
1775768400,4797.75,4798.06,4782.12,4785.5
1775768700,4785.45,4790.28,4781.26,4785.77
1775769000,4785.73,4788.34,4780.63,4783.71
1775769300,4783.78,4788.21,4782.35,4785.62
1775769600,4785.62,4787.09,4777.73,4780.22
1775769900,4780.22,4783.29,4778.62,4782.25
1775770200,4782.08,4782.18,4772.42,4776.98
1775770500,4777.0,4779.75,4773.8,4776.75
1775770800,4776.63,4776.63,4768.55,4770.31
1775771100,4770.31,4773.05,4767.87,4772.61
1775771400,4772.61,4772.88,4769.21,4769.82
1775771700,4769.77,4774.45,4769.27,4772.21
1775772000,4772.19,4776.57,4768.94,4776.22
1775772300,4776.26,4781.88,4774.61,4781.63
1775772600,4781.65,4782.57,4778.43,4779.6
1775772900,4779.67,4780.69,4773.13,4773.88
1775773200,4773.81,4776.15,4772.3,4775.93
1775773500,4775.91,4778.22,4773.29,4773.58
1775773800,4773.59,4778.04,4769.43,4771.98
1775774100,4771.59,4773.09,4770.4,4771.2
1775774400,4771.21,4775.53,4769.35,4772.1
1775774700,4771.56,4772.63,4768.88,4769.66
1775775000,4769.64,4773.88,4769.64,4772.02
1775775300,4771.97,4771.97,4766.87,4768.62
1775775600,4768.62,4771.41,4766.97,4770.47
1775775900,4770.31,4770.96,4768.82,4770.81
1775776200,4770.49,4771.26,4769.41,4769.78
1775776500,4769.42,4770.91,4766.11,4770.61
1775776800,4770.69,4773.32,4770.47,4772.39
1775777100,4772.34,4772.95,4769.6,4769.82
1775777400,4769.96,4771.51,4769.13,4769.13
1775777700,4769.12,4769.4,4763.21,4764.33
1775778000,4764.32,4764.73,4760.85,4764.69
1775778300,4764.32,4766.81,4763.67,4765.11
1775778600,4765.12,4768.82,4764.59,4767.83
1775778900,4767.87,4767.91,4764.66,4765.42
1775782800,4765.83,4779.78,4764.13,4772.06
1775783100,4772.15,4772.31,4766.86,4770.41
1775783400,4770.38,4771.52,4767.51,4769.93
1775783700,4769.89,4770.8,4765.25,4765.95
1775784000,4765.92,4769.64,4764.69,4766.99
1775784300,4766.76,4768.97,4763.62,4764.21
1775784600,4764.38,4767.2,4762.32,4765.39
1775784900,4764.88,4765.35,4758.99,4759.47
1775785200,4759.14,4762.3,4759.04,4761.02
1775785500,4761.09,4762.12,4758.75,4760.28
1775785800,4760.37,4762.47,4758.53,4761.67
1775786100,4761.15,4764.37,4760.23,4763.92
1775786400,4763.94,4764.04,4758.91,4762.47
1775786700,4762.44,4762.85,4757.59,4761.77
1775787000,4761.86,4761.93,4757.08,4759.27
1775787300,4759.27,4761.36,4759.2,4760.17
1775787600,4760.14,4760.36,4756.9,4757.72
1775787900,4757.63,4758.16,4756.76,4758.16
1775788200,4758.1,4761.51,4758.1,4761.23
1775788500,4761.32,4762.83,4760.22,4760.46
1775788800,4760.52,4760.67,4758.19,4759.79
