Price,^GSPC,^DJI,^IXIC,^RUT,^FTSE,^GDAXI,^FCHI,^N225,^HSI,000001.SS,^BSESN,^KS11,^BVSP,^GSPTSE,^AXJO,^STOXX50E,EURUSD=X,GBPUSD=X,USDJPY=X,AUDUSD=X,USDCAD=X,USDCHF=X,NZDUSD=X,^TNX,^IRX,^TYX,ES=F,NQ=F,ZN=F,ZB=F,CL=F,GC=F,SI=F,HYG,LQD,^VIX,JPM
Ticker,^GSPC,^DJI,^IXIC,^RUT,^FTSE,^GDAXI,^FCHI,^N225,^HSI,000001.SS,^BSESN,^KS11,^BVSP,^GSPTSE,^AXJO,^STOXX50E,EURUSD=X,GBPUSD=X,USDJPY=X,AUDUSD=X,USDCAD=X,USDCHF=X,NZDUSD=X,^TNX,^IRX,^TYX,ES=F,NQ=F,ZN=F,ZB=F,CL=F,GC=F,SI=F,HYG,LQD,^VIX,JPM
2007-04-27,-0.00012050,0.00117747,0.00107597,-0.00492935,-0.00786772,-0.00120553,-0.00230226,-0.00165146,-0.00683548,-0.00615043,-0.02276777,-0.00685480,0.00329610,0.00253402,-0.00980291,-0.00706582,0.00484941,0.00406887,-0.00041835,0.00638350,-0.00616923,-0.00265093,0.00363167,0.00298443,-0.00104223,0.00348615,-0.00049921,0.00039342,-0.00057937,-0.00140786,0.02129037,0.00561465,0.00919187,0.00000000,-0.00028112,-0.02694301,-0.00739433
2007-04-30,-0.00786175,-0.00443253,-0.01264006,-0.01840383,0.00474049,0.00415907,0.00492314,0.00000000,-0.01016129,0.02141999,-0.00260682,-0.00018156,-0.00558126,-0.01591976,0.00233810,0.00209902,-0.00021845,0.00069976,-0.00100488,-0.00216006,-0.00485487,0.00058050,-0.00163221,-0.01457998,-0.01470618,-0.01401802,-0.00902865,-0.01452746,0.00448140,0.00757898,-0.01134914,0.00264860,0.00014875,0.00009420,0.00483947,0.13292884,-0.00860002
2007-05-01,0.00264769,0.00559025,0.00254713,0.00206030,-0.00460030,0.00000000,0.00000000,-0.00723454,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00077548,-0.00328144,0.00000000,-0.00374726,-0.00095956,0.00367957,-0.00347936,0.00180091,0.00685750,-0.00148146,0.00258846,0.00632918,-0.00020760,0.00285115,0.00345286,-0.00101017,-0.00027968,-0.02013745,-0.00900438,-0.01498715,0.00012392,-0.00056014,-0.05121927,0.00306632
2007-05-02,0.00645159,0.00574923,0.01033931,0.01484790,0.01005889,0.00633177,0.00503590,0.00691897,0.00341509,0.00000000,0.00000000,0.00714583,0.01048492,0.01277767,0.01484267,0.00525446,-0.00095160,-0.00466461,0.00300051,-0.00264284,-0.00255818,-0.00016462,-0.00295644,0.00086126,0.00000000,0.00062268,0.00551150,0.00687016,-0.00043324,0.00000000,-0.01124311,-0.00311879,-0.00234326,-0.00038000,-0.00027985,-0.03234583,0.00553369
2007-05-03,0.00431575,0.00223035,0.00297460,0.00049474,0.00818597,0.00278046,0.00235942,0.00000000,0.01427292,0.00000000,0.01472911,0.00421433,0.01496668,0.00794407,0.00126568,0.00267785,-0.00236161,-0.00039767,0.00166304,-0.00173057,-0.00117315,0.00131669,-0.00228525,0.00600858,-0.00105210,0.00372828,0.00481849,0.00407333,-0.00202429,-0.00252066,-0.00772451,0.01403169,0.01345530,0.00009540,-0.00140064,0.00076425,0.00285004
2007-05-04,0.00214759,0.00175358,0.00260430,0.00482626,0.01002944,0.00534499,0.01069334,0.00000000,0.00768259,0.00000000,-0.01027697,0.00503902,0.00753852,0.00603860,0.00944986,0.00411816,0.00242951,-0.00600553,-0.00074807,-0.00279569,-0.00095761,-0.00511211,-0.00080958,-0.00730085,0.00000000,-0.00684579,0.00397023,0.00104849,0.00245754,0.00363891,-0.02014132,0.00788905,0.00164132,0.00123392,0.00242725,-0.01384640,-0.00132913
2007-05-07,0.00256044,0.00363838,-0.00046663,-0.00121341,0.00000000,0.00118733,0.00043655,0.01568046,0.00266237,0.00000000,-0.00395632,0.01060854,-0.00626489,0.00691866,0.00487324,-0.00096317,0.00081568,0.00877266,-0.00183084,0.00452626,-0.00398480,0.00156937,0.00169363,-0.00086238,-0.00421941,-0.00208372,0.00000000,-0.00091737,0.00014437,0.00083787,-0.00745545,0.00116345,0.00831424,-0.00009528,0.00121089,0.01841954,0.00189851
2007-05-08,-0.00116665,-0.00029295,0.00031114,-0.00116669,-0.00810403,-0.01115596,-0.00615082,-0.00073544,-0.00914801,0.02791481,-0.00823237,-0.00114296,-0.00007955,0.00359243,-0.00495255,-0.00677547,-0.00435612,-0.00195177,-0.00049996,0.00388412,0.00326146,0.00535047,-0.00184077,-0.00043157,0.00527151,0.00166734,-0.00132166,-0.00065578,0.00028868,-0.00083787,0.01276987,-0.00422406,-0.00281316,0.00075857,-0.00055921,0.00455239,-0.00532386
2007-05-09,0.00321822,0.00403419,0.00178322,0.00464678,-0.00012211,0.00453005,0.00287607,0.00515631,0.00666313,0.01584190,0.00116527,0.00678200,0.02012315,-0.00145270,0.00578870,0.00000000,-0.00102861,0.00189197,0.00099961,-0.00016565,0.00036168,0.00057450,-0.00330478,0.00731037,-0.00527151,0.00746887,0.00214681,0.00353612,-0.00289059,-0.00448055,-0.01146930,-0.00703092,-0.00953454,-0.00265816,-0.00158452,-0.02529839,0.01419800
2007-05-10,-0.01405458,-0.01111760,-0.01667335,-0.01952404,-0.00390097,-0.00814709,-0.00644380,-0.00062890,-0.00473707,0.00908277,-0.00074615,0.00392097,-0.02097876,-0.00303446,0.00228410,-0.00441879,-0.00325470,-0.00693284,-0.00225051,-0.00272821,0.00433065,0.00082018,-0.00803280,-0.00429379,-0.00211645,-0.00186197,-0.01078043,-0.01355730,0.00173536,0.00196271,0.00421535,-0.02259649,-0.02431847,0.00360547,0.00046615,0.05439409,-0.02281471
